,Insegna,Via,Civico,Codice via,Municipio,Camere tot,Camere per piano,Stelle,Piani tot,Elenco piani,Posti letto tot,Posti letto per piano,Tipo struttura
53,TOWN HOUSE 12,PZA GERUSALEMME,12,7201,8,15,0,4,,,23,0,ALBERGO
323,TOWN HOUSE GALLERIA,VIA PELLICO SILVIO,8,,1,18,0,l,,,25,0,ALBERGO
128,TRENTO,VIA DAL POZZO TOSCANELLI PAOLO,4,2516,2,16,6;6;4,1,3,1;2;3,23,8;9;6,ALBERGO
152,UNA HOTEL CENTURY,VIA FILZI FABIO,25/a,1190,2,144,4;9;9;9;9;9;9;9;9;9,4,17,1;2;3;4;5;6;7;8;9;0,288,10;23;23;23;23;23;23;23;23;23,ALBERGO
242,UNA HOTEL MEDITERRANEO,VIA MURATORI LODOVICO,14,4076,4,93,0,4,,,206,0,ALBERGO
147,UNA HOTEL SCANDINAVIA,VIA FAUCHE' GIOVANNI BATTISTA,15,7192,8,153,0,4,,,292,0,ALBERGO
140,UNA HOTEL TOCQ,VIA DI TOCQUEVILLE ALESSIO,7,1703,9,109,0,4,,,272,0,ALBERGO
384,VALLAZZE,VIA VALLAZZE,14,2250,3,13,13,1,,,22,22,ALBERGO
83,VECCHIA MILANO,VIA BORROMEI,4,632,1,28,16;10,3,2,1;2,43,23;17,ALBERGO
400,VILLA GIOVANNA,VIA WASHINGTON GIORGIO,42,6111,7,12,4;4;4,1,3,1;2;M,16,6;6;4,ALBERGO
313,VILLA MIRA,VIA SACCHINI ANTONIO GASPARE,19,2252,3,10,1;5;4,1,3,T;1;2,18,2;8;8,ALBERGO
392,VISERBA RESIDENCE,VIA VISERBA,18/a,2417,2,47,15;16;16,3,3,R;1;2,96,29;32;32,RESIDENCE
61,XXII MARZO,PZA SANTA MARIA DEL SUFFRAGIO,3,3078,4,15,0,2,,,25,0,ALBERGO
166,ZEFIRO,VIA GALLINA GIACINTO,12,3105,3,54,,4,5,,92,,ALBERGO
9,,CSO CONCORDIA,1,3116,3,77,,5,,,180,,ALBERGO
62,,PZA SANT' EUSTORGIO,2,5186,1,22,,3,,,38,,ALBERGO
87,,VIA BREMBO,27,4219,5,55,,2,,,99,,RESIDENCE
148,,VIA FELTRE,19,2652,3,38,,4,,,70,,ALBERGO
185,,VIA IPPODROMO,8,6492,8,116,,2,,,232,,RESIDENCE
248,,VIA ORSEOLO PIETRO,1,5113,6,59,,4,,,101,,ALBERGO
322,,VIA SANTA RADEGONDA,14,,1,,,,,,,,
326,,VIA SAN TOMASO,8,723,1,11,,4,,,22,,ALBERGO
355,,VIA STEPHENSON GIORGIO,55,,,256,,4,,,512,,ALBERGO
388,,VIA VENEZIA GIULIA,9,7500,8,115,,4,,,230,,ALBERGO
