Ubicazione;Tipo via;Descrizione via;Civico;Codice via;ZD;Camere;Camere piano;Categoria;Insegna;Piani totali;Piano piano;Posti letto;Posti letto per piano;Tipo attività struture extra
VIA CIMAROSA DOMENICO N. 19 (z.d. 7);VIA;CIMAROSA DOMENICO;19;6291;7;23;;3;residence cimarosa;;;27;;Residence
VIA CIMAROSA DOMENICO N. 6 (z.d. 7);VIA;CIMAROSA DOMENICO;6;6291;7;66;;4;hotel capitol millennium;;;111;;Albergo
VIA COLA MONTANO N. 29 (z.d. 9);VIA;COLA MONTANO;29;1139;9;21;0;2;r.t.a. cola montano;;;21;0;Residence
VIA COLOMBO GIUSEPPE N. 14 (z.d. 3);VIA;COLOMBO GIUSEPPE;14;3201;3;10;0;3;sunset city;;;17;0;Albergo
VIA COLONNA VITTORIA N. 48 (z.d. 7);VIA;COLONNA VITTORIA;48;6284;7;13;"1;6;6";3;residence colonna;3;"R;2;3";26;"2;12;12";Residence
VIA CONCA DEL NAVIGLIO N. 20 (z.d. 1);VIA;CONCA DEL NAVIGLIO;20;5180;1;105;0;3;idea hotel milano corso genova;;;199;0;Albergo
"VIA COPERNICO NICOLO' num.018/20 ; (z.d. 2)";VIA;COPERNICO NICOLO';;1204;2;53;"4;12;3";3;hotel club;6;"T;1;2;3;4;5";73;"5;16";Albergo
VIA CORNALIA EMILIO N. 7 (z.d. 9);VIA;CORNALIA EMILIO;7;1182;9;26;"3;9";2;class;3;"1;2;3";52;"6;18";Residence
VIA CORRENTI CESARE N. 13 (z.d. 1);VIA;CORRENTI CESARE;13;555;1;43;;4;hotel regina;;;59;;Albergo
VIA CORTINA D'AMPEZZO N. 17 (z.d. 5);VIA;CORTINA D'AMPEZZO;17;4259;5;13;0;2;hotel alessander;;;23;0;Albergo
VIA CUSANI N. 13 (z.d. 1);VIA;CUSANI;13;719;1;92;0;4;hotel bonaparte;;;234;0;Albergo
VIA CUSTODI PIETRO N. 2 (z.d. 5);VIA;CUSTODI PIETRO;2;5199;5;31;;1;"hotel ""la vignetta""";;;56;;Albergo
VIA DAL POZZO TOSCANELLI PAOLO N. 4 (z.d. 2);VIA;DAL POZZO TOSCANELLI PAOLO;4;2516;2;16;"6;6;4";1;trento;3;"1;2;3";23;"8;9;6";Albergo
VIA DANDOLO ENRICO N. 2 (z.d. 1);VIA;DANDOLO ENRICO;2;3028;1;24;;3;albergo pavone;;;50;;Albergo
VIA DE ALBERTIS SEBASTIANO N. 7 (z.d. 3);VIA;DE ALBERTIS SEBASTIANO;7;3138;4;11;0;2;hotel de albertis;;;18;0;Albergo
VIA DE CRISTOFORIS CARLO N. 6 (z.d. 9);VIA;DE CRISTOFORIS CARLO;6;1120;9;125;"7;19;76;8";4;residence atahotel the big;;"1;2;3;4;5;6;7;8;9;0";245;"16;36";Residence
VIA DEI BOSSI N. 5 (z.d. 1);VIA;DEI BOSSI;5;115;1;30;"9;9;7;5";3;hotel star;4;"1;2;3;4";48;"14;14;13;7";Albergo
VIA DEI FONTANILI N. 26 (z.d. 5);VIA;DEI FONTANILI;26;4224;5;57;57;4;mihotel;;;75;75;Albergo
VIA DEI MISSAGLIA N. 14 (z.d. 5);VIA;DEI MISSAGLIA;14;5340;5;19;;3;hotel giardino;;;24;;Albergo
VIA DELLA GIUSTIZIA N. 10 (z.d. 2);VIA;DELLA GIUSTIZIA;10;1410;2;145;0;4;idea hotel milano bicocca;;;290;0;Albergo
VIA DELLE FORZE ARMATE N. 8 (z.d. 7);VIA;DELLE FORZE ARMATE;8;6643;7;12;0;1;hotel edy;1;;25;0;Albergo
VIA DELL' ORSO N. 7 (z.d. 1);VIA;DELL' ORSO;7;123;1;62;62;4;hotel milano scala;;;115;115;Albergo
VIA DEL MARE N. 93 (z.d. 5);VIA;DEL MARE;93;5318;5;87;0;3;hotel alga;;;159;0;Albergo
VIA DESENZANO N. 12 (z.d. 7);VIA;DESENZANO;12;6610;7;60;"12;9;6";3;residence desenzano;6;"R;1;2;3;4;S";115;"20;24;23;12";Residence
"VIA DI TOCQUEVILLE ALESSIO N. 7 numero civico 7/d; (z.d. 9)";VIA;DI TOCQUEVILLE ALESSIO;7;1703;9;109;0;4;una hotel tocq;;;272;0;Albergo
VIA DOMENICHINO N. 41 (z.d. 7);VIA;DOMENICHINO;41;6383;7;64;"21;11;10;8";3;hotel domenichino;5;"1;2;3;4;5;6";110;"29;16;15;12";Albergo
VIA DOMODOSSOLA N. 16 (z.d. 8);VIA;DOMODOSSOLA;16;7152;8;60;"10;10;10;10;10;10";4;hotel admiral;6;"1;2;3;4;5;6";102;"17;17;17;17;17;17";Albergo
"VIA DONATELLO num.010/12 ; (z.d. 3)";VIA;DONATELLO;;2214;3;10;"4;6";4;residence donatello;2;"T;1";20;"12;16";Residence
VIA EDOLO N. 18 (z.d. 2);VIA;EDOLO;18;1217;2;17;;1;BIO CITY HOTEL;;;32;;Albergo
"VIA FARINI CARLO num.001/a ; (z.d. 8)";;;;;;31;"7;8;8;8";3;hotel san guido;4;"1;2;3;4";47;"11;12;12;12";Albergo
VIA FATEBENEFRATELLI N. 21 (z.d. 1);VIA;FATEBENEFRATELLI;21;144;1;121;"35;0;21;15";4;hotel cavour;5;"1;2;3;4;5";224;"55;0;39;38;36;24";Albergo
VIA FAUCHE' GIOVANNI BATTISTA N. 15 (z.d. 8);VIA;FAUCHE' GIOVANNI BATTISTA;15;7192;8;153;0;4;una hotel scandinavia;;;292;0;Albergo
VIA FELTRE N. 19 n. civico 19/b (z.d. 3);VIA;FELTRE;19;2652;3;38;;4;;;;70;;Albergo
VIA FERRUCCI FRANCESCO N. 10 (z.d. 8);VIA;FERRUCCI FRANCESCO;10;7150;8;71;"11;12;12;12;12;8;8;7";3;hotel scala nord;8;"R;1;2;3;4;5;6;7";95;"16;17;17;17;17;10;10;10";Albergo
VIA FILZI FABIO N. 3 (z.d. 2);VIA;FILZI FABIO;3;1190;2;67;"5;29;10;10;10;4";4;hotel marconi;6;"T;1;2;3;4;5";98;"6;42;15;15;15;4";Albergo
VIA FILZI FABIO N. 43 (z.d. 2);VIA;FILZI FABIO;43;1190;2;71;"7;13;13;13;13;13;11";3;nuovo monopole;;"1;2;3;4;5;6;7";125;"11;17;17;17;17;17;16";Albergo
"VIA FILZI FABIO num.025/a ; (z.d. 2)";VIA;FILZI FABIO;;1190;2;144;"4;9;9;9;9;9;9;9;9;9";4;una hotel century;17;"1;2;3;4;5;6;7;8;9;0";288;"10;23;23;23;23;23;23;23;23;23";Albergo
VIA FINOCCHIARO APRILE N. 11 (z.d. 2);VIA;FINOCCHIARO APRILE;11;2120;2;49;"13;13;13";3;albergo sempione;;"1;2;3";101;"19;19;19";Albergo
VIA FINOCCHIARO APRILE N. 2 (z.d. 2);VIA;FINOCCHIARO APRILE;2;2120;2;439;0;3;hotel ibis milano centro;;;636;0;Albergo
VIA F.LLI GABBA N. 7 (z.d. 1);VIA;F.LLI GABBA;7;146;1;59;0;;bulgari hotels  E  resorts milano;;;118;0;Albergo
VIA FLUMENDOSA N. 35 (z.d. 2);VIA;FLUMENDOSA;35;2522;2;43;"7;9";3;hotel agape;5;"T;1;2;3;4";75;"13;16";Albergo
VIA FORCELLA VINCENZO N. 6 (z.d. 6);VIA;FORCELLA VINCENZO;6;5127;6;28;;;MAGNA PARS SUITES MILANO;;;60;;Albergo
VIA FRA' GALGARIO N. 4 (z.d. 7);VIA;FRA' GALGARIO;4;6607;7;10;;1;hotel emmy;;;20;;Albergo
VIA FRA' GALGARIO N. 4 (z.d. 7);VIA;FRA' GALGARIO;4;6607;7;12;0;1;hotel gambara;1;;24;0;Albergo
VIA FRASSINETTI ROMEO N. 2 (z.d. 7);VIA;FRASSINETTI ROMEO;2;6563;7;25;0;4;residence osoppo;;;77;0;Residence
