Nome,Tipologia,Numero stelle,Tipo via,Nome via,Civico,Codice via,Municipio,Camere tot,Piani totali,Posti letto tot
HOTEL EXECELSIOR GALLIA,ALBERGO,-1,PZA,DUCA D'AOSTA,9,1200,2,243,8,448
HOTEL FAENZA,ALBERGO,1,VLE,FAENZA,12,5350,6,8,3,20
HOTEL FIERA CONGRESSI,ALBERGO,3,VIA,SPINOLA AMBROGIO,9,6369,8,29,4,53
HOTEL FIVE,ALBERGO,-1,CSO,LODI,4,4068,5,21,2,43
HOTEL FLORENCE,ALBERGO,3,PZA,ASPROMONTE,22,2246,3,29,3,56
HOTEL FOUR POINTS SHERATON MILAN CENTRE,ALBERGO,4,VIA,CARDANO GEROLAMO,1,1187,9,254,9,465
HOTEL GALA,ALBERGO,3,VLE,ZARA,89,1170,9,22,3,35
HOTEL GALILEO,ALBERGO,4,CSO,EUROPA,9,300,1,89,7,159
HOTEL GALLA,ALBERGO,1,VIA,TEODOSIO,37,2550,3,8,3,15
HOTEL GALLES,ALBERGO,4,PZA,LIMA,2,2135,3,198,8,395
HOTEL GAMBARA,ALBERGO,1,VIA,FRA' GALGARIO,4,6607,7,12,1,24
HOTEL GAMMA,ALBERGO,3,VIA,VALVASSORI PERONI CARLO,85,2580,3,58,7,99
HOTEL GARDA,ALBERGO,3,VIA,TORRIANI NAPO,21,2126,2,56,6,98
HOTEL GARDEN,ALBERGO,2,VIA,RUTILIA,6,4229,5,23,2,48
HOTEL GENIUS DOWN TOWN,ALBERGO,3,VIA,PORLEZZA,4,611,1,36,4,60
HOTEL GIARDINO,ALBERGO,3,VIA,DEI MISSAGLIA,14,5340,5,19,4,24
HOTEL GIULIO CESARE,ALBERGO,3,VIA,ROVELLO,10,722,1,24,4,34
HOTEL GRAN SASSO,ALBERGO,2,VIA,LIPPI FILIPPINO,28,2196,3,22,4,39
HOTEL GRECO,ALBERGO,2,VIA,UGOLINI GIUSEPPE,21,0,9,8,3,20
HOTEL GRITTI,ALBERGO,3,PZA,SANTA MARIA BELTRADE,4,514,1,48,5,78
HOTEL HERMITAGE,ALBERGO,4,VIA,MESSINA,10,7211,8,131,7,262
HOTEL HUA XIA MILANO,ALBERGO,4,VIA,TAZZOLI ENRICO,7,1118,9,35,5,41
HOTEL IBIS MILANO CA  GRANDA,ALBERGO,3,VLE,SUZZANI GIOVANNI,13,1446,9,131,4,262
HOTEL IBIS MILANO CENTRO,ALBERGO,3,VIA,FINOCCHIARO APRILE,2,2120,2,439,12,636
HOTEL IDEALE,ALBERGO,3,VLE,DEI MILLE,60,3115,3,22,3,40
HOTEL JOHNNY,ALBERGO,3,VIA,PRATI GIOVANNI,6,7149,8,31,4,69
HOTEL KENNEDY,ALBERGO,1,VLE,TUNISIA,6,2121,3,13,1,23
HOTEL KING,ALBERGO,4,CSO,MAGENTA,19,604,1,48,6,96
HOTEL LA MADONNINA,ALBERGO,3,VIA,MAZZINI GIUSEPPE,10,516,1,14,4,25
HOTEL LA RESIDENZA,ALBERGO,3,VIA,SCIALOIA VITTORIO,3,1086,9,60,5,100
HOTEL LANCASTER,ALBERGO,3,VIA,SANGIORGIO ABBONDIO,16,7138,1,30,4,65
HOTEL LIBERTY,ALBERGO,4,VLE,BLIGNY,56,4045,5,58,6,106
HOTEL LIDO,ALBERGO,3,VIA,GALLI RICCARDO,8,6405,8,27,4,36
HOTEL LIGURIA,ALBERGO,2,VIA,RIPAMONTI GIUSEPPE,134,4066,5,28,4,51
HOTEL LLOYD,ALBERGO,4,CSO,DI PORTA ROMANA,48,402,1,56,5,100
HOTEL LONDON,ALBERGO,2,VIA,ROVELLO,3,722,1,29,3,49
HOTEL LORIS,ALBERGO,1,VIA,LULLI GIOVANNI,11,2253,3,22,3,25
HOTEL LOSANNA,ALBERGO,3,VIA,PIERO DELLA FRANCESCA,39,7188,8,24,1,47
HOTEL LUGANO,ALBERGO,3,VIA,ASTOLFO,6,2566,3,21,4,31
HOTEL MAC MAHON,ALBERGO,2,VIA,MAC MAHON,45,7221,8,24,4,44
HOTEL MADISON,ALBERGO,4,VIA,GASPAROTTO LEOPOLDO,8,1205,2,97,6,150
HOTEL MAISON BORELLA,ALBERGO,4,ALZ,NAVIGLIO GRANDE,8,5144,6,14,4,25
HOTEL MALTA,ALBERGO,1,VIA,RICORDI GIOVANNI,20,2251,3,15,4,24
HOTEL MANIN,ALBERGO,4,VIA,MANIN DANIELE,7,1052,1,119,7,183
HOTEL MARCONI,ALBERGO,4,VIA,FILZI FABIO,3,1190,2,67,6,98
HOTEL MARLENE,ALBERGO,2,VIA,GOLDONI CARLO,84,3183,3,10,3,17
HOTEL MAYOR,ALBERGO,4,VLE,ISONZO,2,4211,5,60,8,120
HOTEL MAZZINI,ALBERGO,3,VIA,VITRUVIO,29,2134,3,18,4,30
HOTEL MEDIOLANUM,ALBERGO,4,VIA,MACCHI MAURO,1,2133,2,52,4,93
HOTEL MENNINI,ALBERGO,3,VIA,TORRIANI NAPO,14,2126,2,62,7,122
HOTEL MENTANA,ALBERGO,4,VIA,MORIGI,2,633,1,32,6,48
HOTEL MERCURE MILANO CENTRO PORTA VENEZI,ALBERGO,3,PZA,OBERDAN GUGLIELMO,12,2108,3,30,4,57
HOTEL MERCURIO,ALBERGO,2,VIA,SFORZA ASCANIO,73,5201,5,15,2,25
HOTEL METRO,ALBERGO,3,CSO,VERCELLI,61,6193,7,40,2,64
HOTEL MICHELANGELO,ALBERGO,4,VIA,SCARLATTI DOMENICO,33,2136,2,305,17,538
HOTEL MIGNON,ALBERGO,1,VIA,SARONNO,5,7202,8,15,4,24
HOTEL MILANO SCALA,ALBERGO,4,VIA,DELL' ORSO,7,123,1,62,5,115
HOTEL MILTON MILANO,ALBERGO,4,VIA,BUTTI ENRICO,9,1292,9,110,6,308
HOTEL MINERVA,ALBERGO,3,CSO,COLOMBO CRISTOFORO,15,5114,6,44,4,67
HOTEL MIRAGE,ALBERGO,4,VIA,CASELLA GIOVANNI BATTISTA,61,7382,8,86,5,132
HOTEL MISTRAL,ALBERGO,3,VIA,TOFFETTI VINCENZO,4,4188,4,26,3,49
HOTEL MOLISE2,ALBERGO,3,VIA,CADIBONA,2,3339,4,30,4,42
HOTEL MONDIAL,ALBERGO,2,VIA,VITRUVIO,24,2134,3,17,3,29
HOTEL MONTECARLO,ALBERGO,1,VIA,VALLAZZE,39,2250,3,19,3,32
HOTEL MOZART,ALBERGO,4,PZA,GERUSALEMME,6,7201,8,119,6,208
HOTEL MYTHOS,ALBERGO,4,VIA,TENCA CARLO,21,2118,2,52,5,79
HOTEL NAPOLEON,ALBERGO,3,VIA,OZANAM FEDERICO,12,2143,3,40,6,68
HOTEL NASCO,ALBERGO,4,CSO,SEMPIONE,69,7137,8,83,6,211
HOTEL NETTUNO,ALBERGO,1,VIA,TADINO ALESSANDRO,27,2109,3,22,4,53
HOTEL NEW MILANO,ALBERGO,1,VIA,LULLI GIOVANNI,18,2253,3,9,3,16
HOTEL NEW YORK,ALBERGO,3,VIA,PIRELLI GIOVANNI BATTISTA,5,1195,2,69,5,132
HOTEL NHOW,ALBERGO,4,VIA,TORTONA,35,5124,6,244,9,484
HOTEL NICOSIA,ALBERGO,1,CSO,VERCELLI,1,6193,7,7,3,15
HOTEL NIZZA,ALBERGO,2,VIA,PORPORA NICOLA ANTONIO,18,2229,3,11,3,23
HOTEL NUOVO,ALBERGO,1,PZA,BECCARIA CESARE,6,306,1,15,3,33
HOTEL NUOVO BISCIONE,ALBERGO,3,VIA,SANTA MARIA FULCORINA,15,630,1,25,4,34
HOTEL NUOVO MARGHERA,ALBERGO,3,VIA,MARGHERA,2,6280,7,50,4,76
HOTEL NUOVO METRO,ALBERGO,3,VLE,MONZA,120,2274,2,15,4,25
HOTEL ORO BLU,ALBERGO,3,PLE,LOTTO LORENZO,14,6539,8,27,4,48
HOTEL PAGANINI,ALBERGO,1,VIA,PAGANINI NICCOLO',6,2238,3,8,3,23
HOTEL PANIZZA,ALBERGO,3,VIA,PANIZZA BARTOLOMEO,5,6208,7,16,4,32
HOTEL PARMA,ALBERGO,2,VIA,PIERO DELLA FRANCESCA,48,7188,8,25,4,40
HOTEL PERUGINO,ALBERGO,3,VIA,PERUGINO,12,3198,4,32,4,54
HOTEL PIACENZA,ALBERGO,3,VIA,PIACENZA,4,4064,5,24,2,34
HOTEL PIOLA,ALBERGO,2,VIA,PESTALOZZA ALESSANDRO,28,2248,3,13,4,25
HOTEL POLIZIANO FIERA,ALBERGO,4,VIA,POLIZIANO,11,7196,8,100,8,204
HOTEL PORTA VENEZIA,ALBERGO,1,VIA,CASTALDI PANFILO,26,2119,3,12,3,20
HOTEL PRINCIPE DI SAVOIA,ALBERGO,-1,PZA,DELLA REPUBBLICA,17,1055,2,313,9,623
HOTEL PRINCIPE EUGENIO,ALBERGO,1,VIA,AOSTA,2,7227,8,15,3,24
HOTEL RAFAEL,ALBERGO,3,VIA,OLGETTINA,60,2530,3,216,8,439
HOTEL RAFFAELLO,ALBERGO,4,VLE,CERTOSA,108,7174,8,126,5,223
HOTEL RALLYE,ALBERGO,2,VIA,MARCELLO BENEDETTO,59,2128,3,16,4,25
HOTEL REGENCY,ALBERGO,4,VIA,ARIMONDI GIUSEPPE,12,7179,8,71,5,125
HOTEL REGINA,ALBERGO,4,VIA,CORRENTI CESARE,13,555,1,43,5,59
HOTEL REX,ALBERGO,3,VIA,MARCO D'AGRATE,35,4276,5,52,7,104
HOTEL RITTER,ALBERGO,3,CSO,GARIBALDI GIUSEPPE,68,1010,1,89,7,172
HOTEL ROMANA RESIDENCE,RESIDENCE,4,CSO,DI PORTA ROMANA,64,402,1,72,6,147
HOTEL ROSSOVINO,ALBERGO,1,VIA,BARTOLOZZI FRANCESCO,9,3267,4,7,3,12
HOTEL RUBENS,ALBERGO,4,VIA,RUBENS PIETRO,21,6597,7,87,5,150
HOTEL SALERNO,ALBERGO,2,VIA,VITRUVIO,18,2134,3,19,3,39
HOTEL SALUS,ALBERGO,1,VIA,ROSSI PELLEGRINO,59,1510,9,21,3,36
HOTEL SAN FRANCISCO,ALBERGO,3,VLE,LOMBARDIA,55,2400,3,28,4,55
HOTEL SAN GUIDO,ALBERGO,3,VIA,FARINI CARLO,1,0,8,31,4,47
HOTEL SAN MARCO,ALBERGO,1,VIA,PICCINNI NICOLA,25,2236,3,11,1,24
HOTEL SAN SIRO FIERA,ALBERGO,2,VIA,NOVARA,371,6624,7,18,3,33
HOTEL SAN TOMASO,ALBERGO,1,VLE,TUNISIA,6,2121,3,12,1,25
